1;ГУ по Центральному федеральному округу(г.Москва);43
2;Волго-Вятское ГУ;12
3;Дальневосточное ГУ;96
4;Уральское ГУ;64
5;Северо-Западное ГУ;35
6;Сибирское ГУ;78
7;Южное ГУ;14
